filename,D1_missing_legal_basis,D2_missing_disposal_method,D3_missing_transfer_mechanism,HITL_proportionality,HITL_safeguards_adequacy
dsa_000.ttl,True,False,False,needs-change,pass
dsa_001.ttl,True,False,False,needs-change,pass
dsa_002.ttl,True,False,False,needs-change,pass
dsa_003.ttl,True,False,False,needs-change,pass
dsa_004.ttl,True,False,False,needs-change,pass
dsa_005.ttl,True,False,False,needs-change,pass
dsa_006.ttl,True,False,False,needs-change,pass
dsa_007.ttl,True,False,False,needs-change,pass
dsa_008.ttl,True,False,False,needs-change,pass
dsa_009.ttl,True,False,False,needs-change,pass
dsa_010.ttl,True,False,False,needs-change,pass
dsa_011.ttl,True,False,False,needs-change,pass
dsa_012.ttl,True,False,False,needs-change,pass
dsa_013.ttl,True,False,False,needs-change,pass
dsa_014.ttl,True,False,False,needs-change,pass
dsa_015.ttl,True,False,False,needs-change,pass
dsa_016.ttl,True,False,False,needs-change,pass
dsa_017.ttl,True,False,False,needs-change,pass
dsa_018.ttl,True,False,False,needs-change,pass
dsa_019.ttl,True,False,False,needs-change,pass
dsa_020.ttl,True,False,False,pass,needs-change
dsa_021.ttl,True,False,False,pass,needs-change
dsa_022.ttl,True,False,False,pass,needs-change
dsa_023.ttl,True,False,False,pass,needs-change
dsa_024.ttl,True,False,False,pass,needs-change
dsa_025.ttl,True,False,False,pass,needs-change
dsa_026.ttl,True,False,False,pass,needs-change
dsa_027.ttl,True,False,False,pass,needs-change
dsa_028.ttl,True,False,False,pass,needs-change
dsa_029.ttl,True,False,False,pass,needs-change
dsa_030.ttl,False,True,False,pass,needs-change
dsa_031.ttl,False,True,False,pass,needs-change
dsa_032.ttl,False,True,False,pass,needs-change
dsa_033.ttl,False,True,False,pass,needs-change
dsa_034.ttl,False,True,False,pass,needs-change
dsa_035.ttl,False,True,False,pass,needs-change
dsa_036.ttl,False,True,False,pass,needs-change
dsa_037.ttl,False,True,False,pass,needs-change
dsa_038.ttl,False,True,False,pass,needs-change
dsa_039.ttl,False,True,False,pass,needs-change
dsa_040.ttl,False,True,False,pass,pass
dsa_041.ttl,False,True,False,pass,pass
dsa_042.ttl,False,True,False,pass,pass
dsa_043.ttl,False,True,False,pass,pass
dsa_044.ttl,False,True,False,pass,pass
dsa_045.ttl,False,True,False,pass,pass
dsa_046.ttl,False,True,False,pass,pass
dsa_047.ttl,False,True,False,pass,pass
dsa_048.ttl,False,True,False,pass,pass
dsa_049.ttl,False,True,False,pass,pass
dsa_050.ttl,False,True,False,pass,pass
dsa_051.ttl,False,True,False,pass,pass
dsa_052.ttl,False,True,False,pass,pass
dsa_053.ttl,False,True,False,pass,pass
dsa_054.ttl,False,True,False,pass,pass
dsa_055.ttl,False,True,False,pass,pass
dsa_056.ttl,False,True,False,pass,pass
dsa_057.ttl,False,True,False,pass,pass
dsa_058.ttl,False,True,False,pass,pass
dsa_059.ttl,False,True,False,pass,pass
dsa_060.ttl,False,False,True,pass,pass
dsa_061.ttl,False,False,True,pass,pass
dsa_062.ttl,False,False,True,pass,pass
dsa_063.ttl,False,False,True,pass,pass
dsa_064.ttl,False,False,True,pass,pass
dsa_065.ttl,False,False,True,pass,pass
dsa_066.ttl,False,False,True,pass,pass
dsa_067.ttl,False,False,True,pass,pass
dsa_068.ttl,False,False,True,pass,pass
dsa_069.ttl,False,False,True,pass,pass
dsa_070.ttl,False,False,True,pass,pass
dsa_071.ttl,False,False,True,pass,pass
dsa_072.ttl,False,False,True,pass,pass
dsa_073.ttl,False,False,True,pass,pass
dsa_074.ttl,False,False,True,pass,pass
dsa_075.ttl,False,False,True,pass,pass
dsa_076.ttl,False,False,True,pass,pass
dsa_077.ttl,False,False,True,pass,pass
dsa_078.ttl,False,False,True,pass,pass
dsa_079.ttl,False,False,True,pass,pass
dsa_080.ttl,False,False,True,pass,pass
dsa_081.ttl,False,False,True,pass,pass
dsa_082.ttl,False,False,True,pass,pass
dsa_083.ttl,False,False,True,pass,pass
dsa_084.ttl,False,False,True,pass,pass
dsa_085.ttl,False,False,True,pass,pass
dsa_086.ttl,False,False,True,pass,pass
dsa_087.ttl,False,False,True,pass,pass
dsa_088.ttl,False,False,True,pass,pass
dsa_089.ttl,False,False,True,pass,pass
dsa_090.ttl,False,False,True,pass,pass
dsa_091.ttl,False,False,True,pass,pass
dsa_092.ttl,False,False,True,pass,pass
dsa_093.ttl,False,False,True,pass,pass
dsa_094.ttl,False,False,True,pass,pass
dsa_095.ttl,False,False,True,pass,pass
dsa_096.ttl,False,False,True,pass,pass
dsa_097.ttl,False,False,True,pass,pass
dsa_098.ttl,False,False,True,pass,pass
dsa_099.ttl,False,False,True,pass,pass
